range://REOMHENG/default/01-01-2015/31-12-2017?TZ=GMT,Value,Relative_code
2015M12,30-11-2015,M00
2016M01,31-12-2015,M01
2016M02,29-01-2016,M02
2016M03,29-02-2016,M03
2016M04,31-03-2016,M04
2016M05,29-04-2016,M05
2016M06,31-05-2016,M06
2016M07,30-06-2016,M07
2016M08,29-07-2016,M08
2016M09,31-08-2016,M09
2016M10,30-09-2016,M10
2016M11,31-10-2016,M11
2016M12,30-11-2016,M12
2017M01,30-12-2016,M13
2017M02,31-01-2017,M14
2017M03,28-02-2017,M15
2017M04,31-03-2017,M16
2017M05,28-04-2017,M17
2017M06,31-05-2017,M18
2017M07,30-06-2017,M19
2017M08,31-07-2017,M20
2017M09,31-08-2017,M21
2017M10,29-09-2017,M22
2017M11,31-10-2017,M23
2017M12,30-11-2017,M24
